Date,CPI Rate
01-04-2022,102
01-05-2022,102.3
01-06-2022,102.6
01-07-2022,103.1
01-08-2022,103.5
01-09-2022,103.8
01-10-2022,104.1
01-11-2022,104.6
01-12-2022,104.2
01-01-2023,104.5
01-02-2023,105
01-03-2023,105.1
01-04-2023,105.3
01-05-2023,105.7
01-06-2023,105.9
01-07-2023,106.3
01-08-2023,107
01-09-2023,106.8
01-10-2023,106.7
01-11-2023,106.8
01-12-2023,107.1
01-01-2024,107.4
01-02-2024,107.6
01-03-2024,108
01-04-2024,108.4
01-05-2024,108.6
01-06-2024,109.1
01-07-2024,109
01-08-2024,109.4
01-09-2024,109.9
01-10-2024,110.6
01-11-2024,111.1
01-12-2024,111
01-01-2025,111.3
01-02-2025,111.4
01-03-2025,111.8
01-04-2025,111.9
01-05-2025,112
01-06-2025,112.1
01-07-2025,112.2
01-08-2025,112.3
