Date,Unemoployment Rate
01-01-2000,4.9
01-02-2000,5
01-03-2000,5.1
01-04-2000,5
01-05-2000,4.8
01-06-2000,4.9
01-07-2000,4.9
01-08-2000,4.8
01-09-2000,4.9
01-10-2000,4.9
01-11-2000,5
01-12-2000,5
01-01-2001,5
01-02-2001,4.9
01-03-2001,4.9
01-04-2001,5
01-05-2001,5.1
01-06-2001,5.1
01-07-2001,5.3
01-08-2001,5.3
01-09-2001,5.5
01-10-2001,5.5
01-11-2001,5.6
01-12-2001,5.7
01-01-2002,5.5
01-02-2002,5.6
01-03-2002,5.6
01-04-2002,5.5
01-05-2002,5.7
01-06-2002,5.7
01-07-2002,5.6
01-08-2002,5.8
01-09-2002,5.7
01-10-2002,5.6
01-11-2002,5.5
01-12-2002,5.6
01-01-2003,5.7
01-02-2003,5.5
01-03-2003,5.7
01-04-2003,5.7
01-05-2003,5.7
01-06-2003,5.6
01-07-2003,5.4
01-08-2003,5.3
01-09-2003,5.4
01-10-2003,5.3
01-11-2003,5.3
01-12-2003,5.1
01-01-2004,5.1
01-02-2004,5.2
01-03-2004,5
01-04-2004,5
01-05-2004,4.9
01-06-2004,4.9
01-07-2004,5.1
01-08-2004,5
01-09-2004,4.8
01-10-2004,4.8
01-11-2004,4.7
01-12-2004,4.7
01-01-2005,4.7
01-02-2005,4.8
01-03-2005,4.7
01-04-2005,4.7
01-05-2005,4.7
01-06-2005,4.5
01-07-2005,4.6
01-08-2005,4.5
01-09-2005,4.4
01-10-2005,4.6
01-11-2005,4.8
01-12-2005,4.6
01-01-2006,4.6
01-02-2006,4.3
01-03-2006,4.3
01-04-2006,4.3
01-05-2006,4.3
01-06-2006,4.4
01-07-2006,4.3
01-08-2006,4.3
01-09-2006,4.3
01-10-2006,4.3
01-11-2006,4.2
01-12-2006,4.2
01-01-2007,4.2
01-02-2007,4.2
01-03-2007,4.2
01-04-2007,4
01-05-2007,3.9
01-06-2007,3.8
01-07-2007,3.7
01-08-2007,3.9
01-09-2007,4.1
01-10-2007,4.2
01-11-2007,4
01-12-2007,3.9
01-01-2008,4.1
01-02-2008,4.2
01-03-2008,4
01-04-2008,4.1
01-05-2008,4.1
01-06-2008,4.1
01-07-2008,4.1
01-08-2008,4.2
01-09-2008,4.2
01-10-2008,4
01-11-2008,4.2
01-12-2008,4.6
01-01-2009,4.5
01-02-2009,4.8
01-03-2009,5.1
01-04-2009,5.2
01-05-2009,5.4
01-06-2009,5.4
01-07-2009,5.7
01-08-2009,5.7
01-09-2009,5.6
01-10-2009,5.5
01-11-2009,5.5
01-12-2009,5.4
01-01-2010,5.3
01-02-2010,5.3
01-03-2010,5.4
01-04-2010,5.3
01-05-2010,5.4
01-06-2010,5.4
01-07-2010,5.2
01-08-2010,5.3
01-09-2010,5.4
01-10-2010,5.4
01-11-2010,5.3
01-12-2010,5.1
01-01-2011,5.1
01-02-2011,4.9
01-03-2011,4.914495
01-04-2011,4.869536
01-05-2011,4.83469
01-06-2011,4.947701
01-07-2011,4.929225
01-08-2011,4.672584
01-09-2011,4.4
01-10-2011,4.6
01-11-2011,4.7
01-12-2011,4.8
01-01-2012,4.8
01-02-2012,4.7
01-03-2012,4.7
01-04-2012,4.8
01-05-2012,4.6
01-06-2012,4.5
01-07-2012,4.6
01-08-2012,4.4
01-09-2012,4.5
01-10-2012,4.4
01-11-2012,4.3
01-12-2012,4.4
01-01-2013,4.4
01-02-2013,4.5
01-03-2013,4.3
01-04-2013,4.4
01-05-2013,4.4
01-06-2013,4.1
01-07-2013,4
01-08-2013,4.3
01-09-2013,4.1
01-10-2013,4.2
01-11-2013,4.1
01-12-2013,3.9
01-01-2014,3.8
01-02-2014,3.8
01-03-2014,3.8
01-04-2014,3.8
01-05-2014,3.7
01-06-2014,3.9
01-07-2014,3.9
01-08-2014,3.6
01-09-2014,3.7
01-10-2014,3.7
01-11-2014,3.6
01-12-2014,3.5
01-01-2015,3.7
01-02-2015,3.7
01-03-2015,3.6
01-04-2015,3.5
01-05-2015,3.5
01-06-2015,3.5
01-07-2015,3.5
01-08-2015,3.5
01-09-2015,3.5
01-10-2015,3.4
01-11-2015,3.4
01-12-2015,3.5
01-01-2016,3.4
01-02-2016,3.4
01-03-2016,3.4
