Date,Policy Rate
01-07-2023,-0.061
01-08-2023,-0.056
01-09-2023,-0.062
01-10-2023,-0.02
01-11-2023,-0.022
01-12-2023,-0.039
01-01-2024,-0.011
01-02-2024,-0.005
01-03-2024,0.074
01-04-2024,0.076
01-05-2024,0.077
01-06-2024,0.076
01-07-2024,0.079
01-08-2024,0.227
01-09-2024,0.225
01-10-2024,0.227
01-11-2024,0.227
01-12-2024,0.227
01-01-2025,0.477
01-02-2025,0.477
01-03-2025,0.476
01-04-2025,0.476
01-05-2025,0.476
01-06-2025,0.477
01-07-2025,0.478
01-08-2025,0.477
